,team,coach,year,num_games_coached
4,CHI,Lovie Smith,2006,16
5,CIN,Marvin Lewis,2006,16
6,CLE,Romeo Crennel,2006,16
7,DAL,Bill Parcells,2006,16
8,DEN,Mike Shanahan,2006,16
9,DET,Rod Marinelli,2006,16
10,GNB,Mike McCarthy,2006,16
11,HOU,Gary Kubiak,2006,16
12,IND,Tony Dungy,2006,16
13,JAX,Jack Del Rio,2006,16
14,KAN,Herm Edwards,2006,16
15,MIA,Nick Saban,2006,16
16,MIN,Brad Childress,2006,16
17,NOR,Sean Payton,2006,16
18,NWE,Bill Belichick,2006,16
19,NYG,Tom Coughlin,2006,16
20,NYJ,Eric Mangini,2006,16
21,OAK,Art Shell,2006,16
22,PHI,Andy Reid,2006,16
23,PIT,Bill Cowher,2006,16
24,SDG,Marty Schottenheimer,2006,16
25,SEA,Mike Holmgren,2006,16
26,SFO,Mike Nolan,2006,16
27,STL,Scott Linehan,2006,16
28,TAM,Jon Gruden,2006,16
29,TEN,Jeff Fisher,2006,16
30,WAS,Joe Gibbs,2006,16
0,ATL,Bobby Petrino,2007,13
1,BAL,Brian Billick,2007,16
2,BUF,Dick Jauron,2007,16
3,CAR,John Fox,2007,16
4,CHI,Lovie Smith,2007,16
5,CIN,Marvin Lewis,2007,16
6,CLE,Romeo Crennel,2007,16
7,DAL,Wade Phillips,2007,16
8,DEN,Mike Shanahan,2007,16
9,DET,Rod Marinelli,2007,16
10,GNB,Mike McCarthy,2007,16
11,HOU,Gary Kubiak,2007,16
12,IND,Tony Dungy,2007,16
13,JAX,Jack Del Rio,2007,16
14,KAN,Herm Edwards,2007,16
15,MIA,Cam Cameron,2007,16
16,MIN,Brad Childress,2007,16
17,NOR,Sean Payton,2007,16
18,NWE,Bill Belichick,2007,16
19,NYG,Tom Coughlin,2007,16
20,NYJ,Eric Mangini,2007,16
21,OAK,Lane Kiffin,2007,16
22,PHI,Andy Reid,2007,16
23,PIT,Mike Tomlin,2007,16
24,SDG,Norv Turner,2007,16
25,SEA,Mike Holmgren,2007,16
26,SFO,Mike Nolan,2007,16
27,STL,Scott Linehan,2007,16
28,TAM,Jon Gruden,2007,16
29,TEN,Jeff Fisher,2007,16
30,WAS,Joe Gibbs,2007,16
0,ATL,Mike Smith,2008,16
1,BAL,John Harbaugh,2008,16
2,BUF,Dick Jauron,2008,16
3,CAR,John Fox,2008,16
4,CHI,Lovie Smith,2008,16
5,CIN,Marvin Lewis,2008,16
6,CLE,Romeo Crennel,2008,16
7,DAL,Wade Phillips,2008,16
8,DEN,Mike Shanahan,2008,16
9,DET,Rod Marinelli,2008,16
10,GNB,Mike McCarthy,2008,16
11,HOU,Gary Kubiak,2008,16
12,IND,Tony Dungy,2008,16
13,JAX,Jack Del Rio,2008,16
14,KAN,Herm Edwards,2008,16
15,MIA,Tony Sparano,2008,16
16,MIN,Brad Childress,2008,16
17,NOR,Sean Payton,2008,16
18,NWE,Bill Belichick,2008,16
19,NYG,Tom Coughlin,2008,16
20,NYJ,Eric Mangini,2008,16
21,OAK,Tom Cable,2008,12
22,PHI,Andy Reid,2008,16
23,PIT,Mike Tomlin,2008,16
24,SDG,Norv Turner,2008,16
25,SEA,Mike Holmgren,2008,16
26,SFO,Mike Singletary,2008,9
27,STL,Jim Haslett,2008,12
28,TAM,Jon Gruden,2008,16
29,TEN,Jeff Fisher,2008,16
30,WAS,Jim Zorn,2008,16
0,ATL,Mike Smith,2009,16
1,BAL,John Harbaugh,2009,16
2,BUF,Dick Jauron,2009,9
3,CAR,John Fox,2009,16
4,CHI,Lovie Smith,2009,16
5,CIN,Marvin Lewis,2009,16
6,CLE,Eric Mangini,2009,16
7,DAL,Wade Phillips,2009,16
8,DEN,Josh McDaniels,2009,16
9,DET,Jim Schwartz,2009,16
10,GNB,Mike McCarthy,2009,16
11,HOU,Gary Kubiak,2009,16
12,IND,Jim Caldwell,2009,16
13,JAX,Jack Del Rio,2009,16
14,KAN,Todd Haley,2009,16
15,MIA,Tony Sparano,2009,16
16,MIN,Brad Childress,2009,16
17,NOR,Sean Payton,2009,16
18,NWE,Bill Belichick,2009,16
19,NYG,Tom Coughlin,2009,16
20,NYJ,Rex Ryan,2009,16
21,OAK,Tom Cable,2009,16
22,PHI,Andy Reid,2009,16
23,PIT,Mike Tomlin,2009,16
24,SDG,Norv Turner,2009,16
25,SEA,Jim Mora,2009,16
26,SFO,Mike Singletary,2009,16
27,STL,Steve Spagnuolo,2009,16
28,TAM,Raheem Morris,2009,16
29,TEN,Jeff Fisher,2009,16
30,WAS,Jim Zorn,2009,16
0,ATL,Mike Smith,2010,16
1,BAL,John Harbaugh,2010,16
2,BUF,Chan Gailey,2010,16
3,CAR,John Fox,2010,16
4,CHI,Lovie Smith,2010,16
5,CIN,Marvin Lewis,2010,16
